原文	语言	首选简中译名	别名	类别	适用作品	备注	依据	状态
Matte Bike Helmet	en	雾面摩托车安全帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#MET008	verified
ツヤケシMTBメット	ja	雾面摩托车安全帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#MET008	verified
Octo Tackle Helmet Deco	en	装饰奖章鱼安全帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#MET009	verified
オクトメットプライズデコ	ja	装饰奖章鱼安全帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#MET009	verified
Deca Tackle Visor Helmet	en	护目镜大安全帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#MET011	verified
デカメットアイシールド	ja	护目镜大安全帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#MET011	verified
Winkle Stripe Helm	en	贝壳安全帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#MET012	verified
シェルメット	ja	贝壳安全帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#MET012	verified
Party Hard Hat	en	号角安全帽BF		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#MET013	verified
ホーンメットBF	ja	号角安全帽BF		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#MET013	verified
Home-Team Catcher	en	捕手面罩FU		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#MET014	verified
キャッチャーマスクFU	ja	捕手面罩FU		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#MET014	verified
Away-Team Catcher	en	捕手面罩FC		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#MET015	verified
キャッチャーマスクFC	ja	捕手面罩FC		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#MET015	verified
Scrum Cap	en	头部护具 素色		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#MET016	verified
ヘッキャ ムジ	ja	头部护具 素色		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#MET016	verified
Barrelfish Headgear	en	头部护具 条石鲷		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#MET017	verified
ヘッキャ イシダイ	ja	头部护具 条石鲷		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#MET017	verified
Barrelfish Home Helmet	en	条石鲷ST安全帽 主场		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#MET018	verified
イシダイSTメット ホーム	ja	条石鲷ST安全帽 主场		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#MET018	verified
ZedFry Helmet	en	幼河豚安全帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#MET019	verified
チゴフグメット	ja	幼河豚安全帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#MET019	verified
Slipstream Helmet Pro	en	鱿鱼贴身安全帽PRO		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#MET020	verified
イカフィットメットPRO	ja	鱿鱼贴身安全帽PRO		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#MET020	verified
Slipstream Helmet	en	鱿鱼贴身安全帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#MET021	verified
イカフィットメット	ja	鱿鱼贴身安全帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#MET021	verified
Gas Mask	en	章鱼面罩		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#MSK000	verified
タコマスク	ja	章鱼面罩		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#MSK000	verified
Paintball Mask	en	护目镜面罩		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#MSK001	verified
フェイスゴーグル	ja	护目镜面罩		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#MSK001	verified
Paisley Bandana	en	佩斯利花纹丝巾		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#MSK002	verified
エイズリーバンダナ	ja	佩斯利花纹丝巾		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#MSK002	verified
Skull Bandana	en	鱿鱼骨口罩		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#MSK003	verified
イカスカルマスク	ja	鱿鱼骨口罩		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#MSK003	verified
Painter's Mask	en	喷漆面罩		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#MSK004	verified
ペインターマスク	ja	喷漆面罩		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#MSK004	verified
Annaki Mask	en	无法无天口罩		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#MSK005	verified
アナアキマスク	ja	无法无天口罩		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#MSK005	verified
Octoking Facemask	en	章鱼王星星口罩		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#MSK006	verified
キングタコスターマスク	ja	章鱼王星星口罩		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#MSK006	verified
Squid Facemask	en	鱿鱼交叉防护口罩		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#MSK007	verified
イカバッテンガード	ja	鱿鱼交叉防护口罩		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#MSK007	verified
Firefin Facemask	en	暖流口罩		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#MSK008	verified
マスクドホッコリー	ja	暖流口罩		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#MSK008	verified
King Facemask	en	王者口罩		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#MSK009	verified
キングオブマスク	ja	王者口罩		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#MSK009	verified
Motocross Nose Guard	en	越野摩托车连鼻防护面罩		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#MSK010	verified
ノーズガードモトクロス	ja	越野摩托车连鼻防护面罩		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#MSK010	verified
Forge Mask	en	锻品口罩		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#MSK011	verified
フォーリマスク	ja	锻品口罩		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#MSK011	verified
Digi-Camo Forge Mask	en	锻品口罩 数位迷彩		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#MSK012	verified
フォーリマスク デジカモ	ja	锻品口罩 数位迷彩		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#MSK012	verified
BlobMob Mask	en	水滴鱼微笑面罩		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#MSK014	verified
ブロブスマイルマスク	ja	水滴鱼微笑面罩		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#MSK014	verified
Air Gills DX	en	可爱鱼鳃面罩		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#MSK015	verified
エラブリースマスク	ja	可爱鱼鳃面罩		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#MSK015	verified
Squidbeak Shield	en	黑鸢防护面罩R255		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#MSK016	verified
トンビシールドR255	ja	黑鸢防护面罩R255		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#MSK016	verified
Meetcha Mask	en	吾名口罩		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#MSK017	verified
マイネームイズマスク	ja	吾名口罩		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#MSK017	verified
Stealth Squidbeak Shield	en	黑鸢防护面罩RGB0		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#MSK018	verified
トンビシールドRGB0	ja	黑鸢防护面罩RGB0		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#MSK018	verified
Snaxolotl Hood	en	大口螈面罩		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#MSK019	verified
マルノミウーパー	ja	大口螈面罩		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#MSK019	verified
Hero Headset Replica	en	英雄头部装备 复制		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#MSN000	verified
ヒーローヘッズ レプリカ	ja	英雄头部装备 复制		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#MSN000	verified
Armor Helmet Replica	en	盔甲头盔 复制		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#MSN004	verified
アーマーメット レプリカ	ja	盔甲头盔 复制		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#MSN004	verified
Teddy Band	en	熊耳朵		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#MSN109	verified
クマノミミ	ja	熊耳朵		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#MSN109	verified
Fuzz-Octoling Goggles	en	绒毛章鱼女战士护目镜		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#MSN110	verified
ケタコゾネスゴーグル	ja	绒毛章鱼女战士护目镜		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#MSN110	verified
ケタコゾネスゴーグルワカメ	en	ケタコゾネスゴーグルワカメ		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#MSN111	verified
ケタコゾネスゴーグルワカメ	ja	ケタコゾネスゴーグルワカメ		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#MSN111	verified
Survival Ear	en	生存耳朵		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#MSN301	verified
サバイバルイヤー	ja	生存耳朵		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#MSN301	verified
Hero Brain Lv1	en	英雄头饰装备Lv1		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#MSN302	verified
ヒーローブレインLv1	ja	英雄头饰装备Lv1		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#MSN302	verified
Hero Brain Lv2	en	英雄头饰装备Lv2		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#MSN303	verified
ヒーローブレインLv2	ja	英雄头饰装备Lv2		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#MSN303	verified
Hero Brain Lv3	en	英雄头饰装备Lv3		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#MSN304	verified
ヒーローブレインLv3	ja	英雄头饰装备Lv3		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#MSN304	verified
Hero Brain ST	en	英雄头饰装备ST		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#MSN305	verified
ヒーローブレインST	ja	英雄头饰装备ST		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#MSN305	verified
Hero Mindset Replica	en	英雄头饰装备 复制		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#MSN306	verified
ヒーローブレイン レプリカ	ja	英雄头饰装备 复制		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#MSN306	verified
Hero Grip Replica	en	英雄耳挂 复制		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#MSN307	verified
ヒーロークリップ レプリカ	ja	英雄耳挂 复制		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#MSN307	verified
Legendary Cap	en	传说的帽子		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#MSN310	verified
でんせつのぼうし	ja	传说的帽子		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#MSN310	verified
Captain's Cap Replica	en	指挥官帽 复制		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#MSN311	verified
コマンダーヘッド レプリカ	ja	指挥官帽 复制		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#MSN311	verified
Bobble Hat	en	球球毛帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#NCP000	verified
ボンボンニット	ja	球球毛帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#NCP000	verified
Short Beanie	en	短款圆顶毛帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#NCP001	verified
ショートビーニー	ja	短款圆顶毛帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#NCP001	verified
Striped Beanie	en	横纹圆顶毛帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#NCP002	verified
ボーダービーニー	ja	横纹圆顶毛帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#NCP002	verified
Sporty Bobble Hat	en	冬季球球毛帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#NCP003	verified
ウインターボンボン	ja	冬季球球毛帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#NCP003	verified
Special-Forces Beret	en	纹甲贝雷帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#NCP004	verified
モンゴウベレー	ja	纹甲贝雷帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#NCP004	verified
Squid Nordic	en	北欧鱿鱼帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#NCP005	verified
イカノルディック	ja	北欧鱿鱼帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#NCP005	verified
Knitted Hat	en	针织帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#NCP008	verified
リブニット	ja	针织帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#NCP008	verified
Annaki Beret	en	无法无天别针贝雷帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#NCP009	verified
アナアキアンピンベレー	ja	无法无天别针贝雷帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#NCP009	verified
Yamagiri Beanie	en	山形纹圆顶毛帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#NCP010	verified
ヤマギリビーニー	ja	山形纹圆顶毛帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#NCP010	verified
Sneaky Beanie	en	藏貌针织帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#NCP011	verified
オシノビニット	ja	藏貌针织帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#NCP011	verified
Anglerfish Knit	en	灯笼鱼针织帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#NCP012	verified
アンコウニット	ja	灯笼鱼针织帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#NCP012	verified
ZedFry Beanie	en	幼河豚针织帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#NCP013	verified
チゴフグニット	ja	幼河豚针织帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#NCP013	verified
オーダーピアス	en	オーダーピアス		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#SDODR000	verified
オーダーピアス	ja	オーダーピアス		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#SDODR000	verified
オーダーレギュ	en	オーダーレギュ		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#SDODR001	verified
オーダーレギュ	ja	オーダーレギュ		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#SDODR001	verified
イカイノカノンノカメン	en	イカイノカノンノカメン		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#SDODR100	verified
イカイノカノンノカメン	ja	イカイノカノンノカメン		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#SDODR100	verified
イカイノコブンノカメン	en	イカイノコブンノカメン		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#SDODR101	verified
イカイノコブンノカメン	ja	イカイノコブンノカメン		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#SDODR101	verified
Order Earring Replica	en	秩序耳饰 复制		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#SDODR200	verified
オーダーピアス レプリカ	ja	秩序耳饰 复制		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#SDODR200	verified
Order Regulator Replica	en	秩序呼吸调节器 复制		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#SDODR201	verified
オーダーレギュ レプリカ	ja	秩序呼吸调节器 复制		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#SDODR201	verified
Controller VM	en	思想改造VE		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#SDODR202	verified
ブレインウォッシュVE	ja	思想改造VE		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#SDODR202	verified
Parallel Mask	en	异界面具		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#SDODR203	verified
イカイノカメン	ja	异界面具		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#SDODR203	verified
Pearl Plushie	en	小姬发箍		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#SDODR204	verified
ヒメグルミ	ja	小姬发箍		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#SDODR204	verified
Stay Crusty Cap	en	阿龙帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#TRG000	verified
ロブキャップ	ja	阿龙帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#TRG000	verified
Judicial Hearing	en	评审耳		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#TRG001	verified
ジャッジメントイヤー	ja	评审耳		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#TRG001	verified
Golf Visor	en	球童中空遮阳帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#VIS000	verified
キャディ サンバイザー	ja	球童中空遮阳帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#VIS000	verified
FishFry Visor	en	烧河豚中空遮阳帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#VIS001	verified
ヤキフグ サンバイザー	ja	烧河豚中空遮阳帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#VIS001	verified
Sun Visor	en	艳阳中空遮阳帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#VIS002	verified
サンサンサンバイザー	ja	艳阳中空遮阳帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#VIS002	verified
Takoroka Visor	en	暇古中空遮阳帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#VIS003	verified
ヤコバイザー	ja	暇古中空遮阳帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#VIS003	verified
Face Visor	en	脸部中空遮阳帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#VIS004	verified
フェイスバイザー	ja	脸部中空遮阳帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#VIS004	verified
Crust Bucket Visor	en	龙10中空遮阳帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#VIS005	verified
ロブズ・10・バイザー	ja	龙10中空遮阳帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#VIS005	verified
Tee Time Visor	en	镜墨中空遮阳帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#VIS006	verified
スラグンサンバイザー	ja	镜墨中空遮阳帽		头部装备	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Head#VIS006	verified
School Uniform A	en	学校制服外套L		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#AMB000	verified
スクールブレザーL	ja	学校制服外套L		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#AMB000	verified
Samurai Jacket	en	武士外套		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#AMB001	verified
サムライジャケット	ja	武士外套		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#AMB001	verified
Power Armor	en	动力装		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#AMB002	verified
パワードスーツ	ja	动力装		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#AMB002	verified
School Cardigan A	en	学校针织罩衫 蝴蝶结		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#AMB003	verified
スクールカーデ リボン	ja	学校针织罩衫 蝴蝶结		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#AMB003	verified
Squinja Suit	en	忍者装		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#AMB004	verified
ニンジャスーツ	ja	忍者装		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#AMB004	verified
Power Armor Mk I	en	动力装 原型		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#AMB005	verified
パワードスーツ オリジン	ja	动力装 原型		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#AMB005	verified
Pearlescent Hoodie	en	姬伴连帽上衣		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#AMB006	verified
ヒメイトパーカー	ja	姬伴连帽上衣		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#AMB006	verified
Marinated Top	en	饭友上衣		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#AMB007	verified
イイダチトップス	ja	饭友上衣		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#AMB007	verified
Enchanted Robe A	en	魔力长袍S		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#AMB008	verified
エンチャントローブS	ja	魔力长袍S		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#AMB008	verified
Steel Platemail	en	章鱼铠甲		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#AMB009	verified
タコティカルなよろい	ja	章鱼铠甲		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#AMB009	verified
Fresh Fish Gloves	en	鱼奇奇手套		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#AMB010	verified
ひれおくんのて	ja	鱼奇奇手套		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#AMB010	verified
Schoolyard Scrap Jack	en	鱿鱼丝校服		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#AMB011	verified
サキイカガクラン	ja	鱿鱼丝校服		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#AMB011	verified
Black-Belt Gi	en	柔道服 黑带		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#AMB012	verified
ジュウドウギ クロオビ	ja	柔道服 黑带		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#AMB012	verified
Chaos Commander Suit	en	狂战士盔甲		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#AMB013	verified
バーサークアーマー	ja	狂战士盔甲		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#AMB013	verified
School Uniform B	en	学校制服外套R		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#AMB014	verified
スクールブレザーR	ja	学校制服外套R		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#AMB014	verified
School Cardigan B	en	学校针织罩衫 领带		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#AMB015	verified
スクールカーデ ネクタイ	ja	学校针织罩衫 领带		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#AMB015	verified
Enchanted Robe B	en	魔力长袍L		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#AMB017	verified
エンチャントローブL	ja	魔力长袍L		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#AMB017	verified
Chomp Top	en	颊白的羽衣		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#AMB018	verified
ホホジロノハゴロモ	ja	颊白的羽衣		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#AMB018	verified
Eelneck Tank	en	翁长的羽衣		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#AMB019	verified
オナガノハゴロモ	ja	翁长的羽衣		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#AMB019	verified
Big Slick	en	曼蛇的雨衣		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#AMB020	verified
マンダノカッパ	ja	曼蛇的雨衣		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#AMB020	verified
World Tour Puffy Coat	en	世界级MC羽绒衣		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#AMB021	verified
ワールドMCジャンパー	ja	世界级MC羽绒衣		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#AMB021	verified
World Tour Jacket	en	世界级DJ外套		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#AMB022	verified
ワールドDJジャケット	ja	世界级DJ外套		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#AMB022	verified
Orange Slopsuit	en	打工连身工作服 橘色		服装	斯普拉遁3		游戏语言文件：CommonMsg/Gear/GearName_Clothes#COP001	verified
