原文	语言	首选简中译名	别名	类别	适用作品	备注	依据	状态
Planetz Big Swig Roller	en	宽滚筒 惑		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Roller_Wide_02	verified
ワイドローラー惑	ja	宽滚筒 惑		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Roller_Wide_02	verified
Grizzco Splatana	en	熊先生印章刮水刀		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Saber_Bear_Coop	verified
クマサン印のワイパー	ja	熊先生印章刮水刀		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Saber_Bear_Coop	verified
Mint Decavitator	en	巨齿刮水刀 薄荷		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Saber_Heavy_00	verified
デンタルワイパーミント	ja	巨齿刮水刀 薄荷		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Saber_Heavy_00	verified
Charcoal Decavitator	en	巨齿刮水刀 墨黑		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Saber_Heavy_01	verified
デンタルワイパースミ	ja	巨齿刮水刀 墨黑		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Saber_Heavy_01	verified
Splatana Wiper	en	雨刷刮水刀		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Saber_Lite_00	verified
ドライブワイパー	ja	雨刷刮水刀		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Saber_Lite_00	verified
Splatana Wiper Deco	en	雨刷刮水刀 装饰		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Saber_Lite_01	verified
ドライブワイパーデコ	ja	雨刷刮水刀 装饰		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Saber_Lite_01	verified
Splatana Wiper RUS-T	en	雨刷刮水刀RUST		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Saber_Lite_02	verified
ドライブワイパーRUST	ja	雨刷刮水刀RUST		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Saber_Lite_02	verified
Splatana Stamper	en	工作刮水刀		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Saber_Normal_00	verified
ジムワイパー	ja	工作刮水刀		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Saber_Normal_00	verified
Splatana Stamper Nouveau	en	工作刮水刀·新艺术		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Saber_Normal_01	verified
ジムワイパー・ヒュー	ja	工作刮水刀·新艺术		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Saber_Normal_01	verified
Stickerz Splatana Stamper	en	工作刮水刀 封		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Saber_Normal_02	verified
ジムワイパー封	ja	工作刮水刀 封		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Saber_Normal_02	verified
Order Splatana Replica	en	秩序刮水刀 复制		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Saber_Normal_O	verified
オーダーワイパー レプリカ	ja	秩序刮水刀 复制		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Saber_Normal_O	verified
Grizzco Brella	en	熊先生印章防空伞		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Shelter_Bear_Coop	verified
クマサン印のシェルター	ja	熊先生印章防空伞		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Shelter_Bear_Coop	verified
Undercover Brella	en	特工配件		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Shelter_Compact_00	verified
スパイガジェット	ja	特工配件		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Shelter_Compact_00	verified
Undercover Sorella Brella	en	特工配件 姐妹		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Shelter_Compact_01	verified
スパイガジェットソレーラ	ja	特工配件 姐妹		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Shelter_Compact_01	verified
Patternz Undercover Brella	en	特工配件 缭		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Shelter_Compact_02	verified
スパイガジェット繚	ja	特工配件 缭		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Shelter_Compact_02	verified
Recycled Brella 24 Mk I	en	24式可替换伞·甲		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Shelter_Focus_00	verified
24式張替傘・甲	ja	24式可替换伞·甲		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Shelter_Focus_00	verified
Recycled Brella 24 Mk II	en	24式可替换伞·乙		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Shelter_Focus_01	verified
24式張替傘・乙	ja	24式可替换伞·乙		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Shelter_Focus_01	verified
Splat Brella	en	遮阳防空伞		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Shelter_Normal_00	verified
パラシェルター	ja	遮阳防空伞		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Shelter_Normal_00	verified
Sorella Brella	en	遮阳防空伞 姐妹		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Shelter_Normal_01	verified
パラシェルターソレーラ	ja	遮阳防空伞 姐妹		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Shelter_Normal_01	verified
Order Brella Replica	en	秩序防空伞 复制		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Shelter_Normal_O	verified
オーダーシェルター レプリカ	ja	秩序防空伞 复制		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Shelter_Normal_O	verified
Tenta Brella	en	露营防空伞		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Shelter_Wide_00	verified
キャンピングシェルター	ja	露营防空伞		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Shelter_Wide_00	verified
Tenta Sorella Brella	en	露营防空伞 姐妹		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Shelter_Wide_01	verified
キャンピングシェルターソレーラ	ja	露营防空伞 姐妹		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Shelter_Wide_01	verified
Tenta Brella CRE-M	en	露营防空伞CREM		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Shelter_Wide_02	verified
キャンピングシェルターCREM	ja	露营防空伞CREM		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Shelter_Wide_02	verified
Aerospray MG	en	专业模型枪MG		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Shooter_Blaze_00	verified
プロモデラーMG	ja	专业模型枪MG		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Shooter_Blaze_00	verified
Aerospray RG	en	专业模型枪RG		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Shooter_Blaze_01	verified
プロモデラーRG	ja	专业模型枪RG		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Shooter_Blaze_01	verified
Colorz Aerospray	en	专业模型枪 彩		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Shooter_Blaze_02	verified
プロモデラー彩	ja	专业模型枪 彩		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Shooter_Blaze_02	verified
Splattershot Pro	en	顶尖射击枪		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Shooter_Expert_00	verified
プライムシューター	ja	顶尖射击枪		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Shooter_Expert_00	verified
Forge Splattershot Pro	en	顶尖射击枪 联名		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Shooter_Expert_01	verified
プライムシューターコラボ	ja	顶尖射击枪 联名		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Shooter_Expert_01	verified
Splattershot Pro FRZ-N	en	顶尖射击枪FRZN		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Shooter_Expert_02	verified
プライムシューターFRZN	ja	顶尖射击枪FRZN		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Shooter_Expert_02	verified
Splattershot Jr.	en	新叶射击枪		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Shooter_First_00	verified
わかばシューター	ja	新叶射击枪		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Shooter_First_00	verified
Custom Splattershot Jr.	en	枫叶射击枪		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Shooter_First_01	verified
もみじシューター	ja	枫叶射击枪		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Shooter_First_01	verified
Squeezer	en	开瓶喷泉枪		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Shooter_Flash_00	verified
ボトルガイザー	ja	开瓶喷泉枪		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Shooter_Flash_00	verified
Foil Squeezer	en	开瓶喷泉枪 金属箔		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Shooter_Flash_01	verified
ボトルガイザーフォイル	ja	开瓶喷泉枪 金属箔		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Shooter_Flash_01	verified
.52 Gal	en	.52加仑		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Shooter_Gravity_00	verified
.52ガロン	ja	.52加仑		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Shooter_Gravity_00	verified
.52 Gal Deco	en	.52加仑 装饰		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Shooter_Gravity_01	verified
.52ガロンデコ	ja	.52加仑 装饰		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Shooter_Gravity_01	verified
.96 Gal	en	.96加仑		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Shooter_Heavy_00	verified
.96ガロン	ja	.96加仑		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Shooter_Heavy_00	verified
.96 Gal Deco	en	.96加仑 装饰		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Shooter_Heavy_01	verified
.96ガロンデコ	ja	.96加仑 装饰		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Shooter_Heavy_01	verified
Clawz .96 Gal	en	.96加仑 爪		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Shooter_Heavy_02	verified
.96ガロン爪	ja	.96加仑 爪		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Shooter_Heavy_02	verified
Jet Squelcher	en	喷射清洁枪		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Shooter_Long_00	verified
ジェットスイーパー	ja	喷射清洁枪		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Shooter_Long_00	verified
Custom Jet Squelcher	en	喷射清洁枪 改装		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Shooter_Long_01	verified
ジェットスイーパーカスタム	ja	喷射清洁枪 改装		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Shooter_Long_01	verified
Jet Squelcher COB-R	en	喷射清洁枪COBR		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Shooter_Long_02	verified
ジェットスイーパーCOBR	ja	喷射清洁枪COBR		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Shooter_Long_02	verified
ヒーローシューターLv1	en	ヒーローシューターLv1		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Shooter_MissionLv1_00	verified
ヒーローシューターLv1	ja	ヒーローシューターLv1		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Shooter_MissionLv1_00	verified
ヒーローシューターLv2	en	ヒーローシューターLv2		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Shooter_MissionLv2_00	verified
ヒーローシューターLv2	ja	ヒーローシューターLv2		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Shooter_MissionLv2_00	verified
ヒーローシューターLv3	en	ヒーローシューターLv3		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Shooter_MissionLv3_00	verified
ヒーローシューターLv3	ja	ヒーローシューターLv3		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Shooter_MissionLv3_00	verified
Splattershot	en	斯普拉射击枪		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Shooter_Normal_00	verified
スプラシューター	ja	斯普拉射击枪		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Shooter_Normal_00	verified
Tentatek Splattershot	en	斯普拉射击枪 联名		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Shooter_Normal_01	verified
スプラシューターコラボ	ja	斯普拉射击枪 联名		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Shooter_Normal_01	verified
Glamorz Splattershot	en	斯普拉射击枪 煌		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Shooter_Normal_02	verified
スプラシューター煌	ja	斯普拉射击枪 煌		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Shooter_Normal_02	verified
Hero Shot Replica	en	英雄射击枪 复制		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Shooter_Normal_H	verified
ヒーローシューター レプリカ	ja	英雄射击枪 复制		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Shooter_Normal_H	verified
Order Shot Replica	en	秩序射击枪 复制		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Shooter_Normal_O	verified
オーダーシューター レプリカ	ja	秩序射击枪 复制		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Shooter_Normal_O	verified
Octo Shot Replica	en	章鱼射击枪 复制		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Shooter_Normal_Oct	verified
オクタシューター レプリカ	ja	章鱼射击枪 复制		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Shooter_Normal_Oct	verified
Splash-o-matic	en	窄域标记枪		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Shooter_Precision_00	verified
シャープマーカー	ja	窄域标记枪		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Shooter_Precision_00	verified
Neo Splash-o-matic	en	窄域标记枪 新型		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Shooter_Precision_01	verified
シャープマーカーネオ	ja	窄域标记枪 新型		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Shooter_Precision_01	verified
Splash-o-matic GCK-O	en	窄域标记枪GECK		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Shooter_Precision_02	verified
シャープマーカーGECK	ja	窄域标记枪GECK		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Shooter_Precision_02	verified
Splattershot Nova	en	太空射击枪		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Shooter_QuickLong_00	verified
スペースシューター	ja	太空射击枪		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Shooter_QuickLong_00	verified
Annaki Splattershot Nova	en	太空射击枪 联名		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Shooter_QuickLong_01	verified
スペースシューターコラボ	ja	太空射击枪 联名		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Shooter_QuickLong_01	verified
N-ZAP '85	en	N-ZAP85		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Shooter_QuickMiddle_00	verified
N-ZAP85	ja	N-ZAP85		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Shooter_QuickMiddle_00	verified
N-ZAP '89	en	N-ZAP89		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Shooter_QuickMiddle_01	verified
N-ZAP89	ja	N-ZAP89		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Shooter_QuickMiddle_01	verified
Sploosh-o-matic	en	广域标记枪		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Shooter_Short_00	verified
ボールドマーカー	ja	广域标记枪		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Shooter_Short_00	verified
Neo Sploosh-o-matic	en	广域标记枪 新型		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Shooter_Short_01	verified
ボールドマーカーネオ	ja	广域标记枪 新型		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Shooter_Short_01	verified
H-3 Nozzlenose	en	H3卷管枪		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Shooter_TripleMiddle_00	verified
H3リールガン	ja	H3卷管枪		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Shooter_TripleMiddle_00	verified
H-3 Nozzlenose D	en	H3卷管枪D		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Shooter_TripleMiddle_01	verified
H3リールガンD	ja	H3卷管枪D		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Shooter_TripleMiddle_01	verified
H-3 Nozzlenose VIP-R	en	H3卷管枪SNAK		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Shooter_TripleMiddle_02	verified
H3リールガンSNAK	ja	H3卷管枪SNAK		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Shooter_TripleMiddle_02	verified
L-3 Nozzlenose	en	L3卷管枪		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Shooter_TripleQuick_00	verified
L3リールガン	ja	L3卷管枪		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Shooter_TripleQuick_00	verified
L-3 Nozzlenose D	en	L3卷管枪D		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Shooter_TripleQuick_01	verified
L3リールガンD	ja	L3卷管枪D		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Shooter_TripleQuick_01	verified
Glitterz L-3 Nozzlenose	en	L3卷管枪 箔		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Shooter_TripleQuick_02	verified
L3リールガン箔	ja	L3卷管枪 箔		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Shooter_TripleQuick_02	verified
Bloblobber	en	满溢泡澡泼桶		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Slosher_Bathtub_00	verified
オーバーフロッシャー	ja	满溢泡澡泼桶		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Slosher_Bathtub_00	verified
Bloblobber Deco	en	满溢泡澡泼桶 装饰		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Slosher_Bathtub_01	verified
オーバーフロッシャーデコ	ja	满溢泡澡泼桶 装饰		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Slosher_Bathtub_01	verified
Grizzco Slosher	en	熊先生印章泼桶		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Slosher_Bear_Coop	verified
クマサン印のスロッシャー	ja	熊先生印章泼桶		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Slosher_Bear_Coop	verified
Tri-Slosher	en	洗笔桶		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Slosher_Diffusion_00	verified
ヒッセン	ja	洗笔桶		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Slosher_Diffusion_00	verified
Tri-Slosher Nouveau	en	洗笔桶·新艺术		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Slosher_Diffusion_01	verified
ヒッセン・ヒュー	ja	洗笔桶·新艺术		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Slosher_Diffusion_01	verified
Tri-Slosher ASH-N	en	洗笔桶ASH		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Slosher_Diffusion_02	verified
ヒッセンASH	ja	洗笔桶ASH		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Slosher_Diffusion_02	verified
Dread Wringer	en	墨瀑淋		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Slosher_Double_00	verified
モップリン	ja	墨瀑淋		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Slosher_Double_00	verified
Dread Wringer D	en	墨瀑淋D		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Slosher_Double_01	verified
モップリンD	ja	墨瀑淋D		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Slosher_Double_01	verified
Hornz Dread Wringer	en	墨瀑淋 角		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Slosher_Double_02	verified
モップリン角	ja	墨瀑淋 角		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Slosher_Double_02	verified
Sloshing Machine	en	回旋泼桶		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Slosher_Launcher_00	verified
スクリュースロッシャー	ja	回旋泼桶		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Slosher_Launcher_00	verified
Sloshing Machine Neo	en	回旋泼桶 新型		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Slosher_Launcher_01	verified
スクリュースロッシャーネオ	ja	回旋泼桶 新型		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Slosher_Launcher_01	verified
バケットスロッシャー	ja	飞溅泼桶		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Slosher_Strong_00	verified
Slosher Deco	en	飞溅泼桶 装饰		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Slosher_Strong_01	verified
バケットスロッシャーデコ	ja	飞溅泼桶 装饰		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Slosher_Strong_01	verified
Order Slosher Replica	en	秩序泼桶 复制		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Slosher_Strong_O	verified
オーダースロッシャー レプリカ	ja	秩序泼桶 复制		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Slosher_Strong_O	verified
Explosher	en	爆炸泼桶		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Slosher_Washtub_00	verified
エクスプロッシャー	ja	爆炸泼桶		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Slosher_Washtub_00	verified
Custom Explosher	en	爆炸泼桶 改装		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Slosher_Washtub_01	verified
エクスプロッシャーカスタム	ja	爆炸泼桶 改装		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Slosher_Washtub_01	verified
Ballpoint Splatling	en	圆珠笔		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Spinner_Downpour_00	verified
クーゲルシュライバー	ja	圆珠笔		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Spinner_Downpour_00	verified
Ballpoint Splatling Nouveau	en	圆珠笔·新艺术		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Spinner_Downpour_01	verified
クーゲルシュライバー・ヒュー	ja	圆珠笔·新艺术		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Spinner_Downpour_01	verified
Heavy Edit Splatling	en	审查者		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Spinner_HyperShort_00	verified
イグザミナー	ja	审查者		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Spinner_HyperShort_00	verified
Heavy Edit Splatling Nouveau	en	审查者·新艺术		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Spinner_HyperShort_01	verified
イグザミナー・ヒュー	ja	审查者·新艺术		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Spinner_HyperShort_01	verified
Hydra Splatling	en	消防栓旋转枪		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Spinner_Hyper_00	verified
ハイドラント	ja	消防栓旋转枪		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Spinner_Hyper_00	verified
Custom Hydra Splatling	en	消防栓旋转枪 改装		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Spinner_Hyper_01	verified
ハイドラントカスタム	ja	消防栓旋转枪 改装		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Spinner_Hyper_01	verified
Torrentz Hydra Splatling	en	消防栓旋转枪 压		主武器	斯普拉遁3		游戏语言文件：CommonMsg/Weapon/WeaponName_Main#Spinner_Hyper_02	verified
